u_mag,g_mag,r_mag,i_mag,z_mag
18.677376,17.537075,17.317047,17.295237,17.299932
20.307835,17.910921,16.90989,16.498173,16.233315
19.102808,17.773125,17.25054,17.069214,16.994953
18.315306,16.971046,16.425255,16.228773,16.120676
18.948433,17.997845,17.731766,17.599075,17.581507
18.812254,16.615702,15.71774,15.357861,15.223354
19.208204,17.934496,17.410507,17.191591,17.114223
19.47214,17.763695,17.042967,16.784485,16.701036
18.858498,17.836018,17.750557,17.766985,17.821835
18.379265,17.147583,16.697588,16.547459,16.481813
19.4834,16.976131,15.764053,15.311604,15.100573
18.661728,16.784985,16.035133,15.781788,15.637528
20.349476,17.757334,16.550825,16.079832,15.802066
17.968292,17.007051,16.789145,16.736734,16.70002
17.759943,16.14644,15.478834,15.204926,15.065145
19.858608,17.216349,15.974475,15.473848,15.186154
17.745775,16.24358,15.653141,15.463379,15.387489
17.158188,16.124195,15.677299,15.533434,15.459494
18.481922,17.399246,16.890823,16.685724,16.606064
19.117435,17.366945,16.547628,16.264465,16.090624
18.75682,17.558144,17.060326,16.792912,16.777315
17.487463,16.538261,16.132633,15.991116,15.957575
20.304035,17.585104,16.189243,15.519277,15.114933
17.974464,16.83866,16.975172,17.124517,17.170399
17.011362,15.998893,15.505964,15.326386,15.381876
18.26392,17.089975,16.599537,16.41888,16.283346
18.776588,17.768908,17.324064,17.147068,17.060236
18.499563,17.591263,17.315054,17.15862,17.22522
17.64263,16.120995,15.480082,15.180329,15.142716
19.396788,17.216892,16.358707,16.0319,15.873123
17.750149,16.706984,16.64788,16.649488,16.718435
17.94358,16.470753,15.889203,15.675743,15.587888
20.559404,17.767242,16.467564,15.897341,15.586574
20.01329,17.381546,16.161264,15.672346,15.343166
17.316618,15.997745,15.559206,15.416702,15.365063
20.176998,17.54505,16.267603,15.749489,15.450159
17.41473,16.464369,16.133034,16.003326,16.006088
17.35486,16.310093,15.940767,15.833628,15.782706
18.384222,16.244518,15.421268,15.15706,15.013377
20.096342,17.593925,16.436125,16.020264,15.766916
18.549152,17.536285,17.227999,17.10225,17.085924
20.23927,17.655893,16.37342,15.783444,15.454544
18.918692,17.743368,17.321587,17.150736,17.076824
19.55088,17.400505,16.542793,16.213732,16.082136
17.891777,16.697592,16.229322,16.06155,15.983308
18.427141,17.352648,16.905182,16.758238,16.68055
18.636663,17.812338,17.523085,17.380592,17.374052
18.72646,17.599394,17.182812,17.03904,16.983576
19.09521,17.967573,17.537777,17.394957,17.350927
19.10418,17.703371,17.178898,16.99112,16.891218
19.42047,17.481985,16.637714,16.269836,16.04325
18.353273,16.603098,15.914998,15.646283,15.50567
