Title,Director,Cast,Country,"Subgenre/Notes
"
Outlander,Howard McCain,"['James Caviezel', 'Jack Huston', 'Sophia Myles']",United States,Action adventure
Próxima,Carlos Atanes,"['Oriol Aubets', 'Anthony Blake', 'Arantxa Peña']",Spain,Underground
Repo! The Genetic Opera,Darren Lynn Bousman,"['Alexa Vega', 'Anthony Stewart Head', 'Paris Hilton']",United States,Musical film
Sleep Dealer,Alex Rivera,"['Luis Fernando Peña', 'Leonor Varela', 'Jacob Vargas']",Mexico,Cyberpunk
Star Wars: The Clone Wars,Dave Filoni,"['Matt Lanter', ' (voice), ', 'James Arnold Taylor', ' (voice), ', 'Ashley Eckstein', ' (voice)']",United States,Animation
Tokyo Gore Police,Yoshihiro Nishimura,"['Eihi Shiina', 'Itsuji Itao', 'Yukihide Benny']",United States,Gore
WALL-E,Andrew Stanton,"['Ben Burtt', ' (voice), ', 'Elissa Knight', ' (voice), ', 'Jeff Garlin', ' (voice)']",United States,Animation
The X-Files: I Want to Believe,Chris Carter,"['David Duchovny', 'Gillian Anderson', 'Amanda Peet']",United States,Thriller
20th Century Boys 2: The Last Hope,Yukihiko Tsutsumi,"['Toshiaki Karasawa', 'Etsushi Toyokawa', 'Takako Tokiwa']",Japan,
20th Century Boys 3: Redemption,Yukihiko Tsutsumi,"['Naoto Takenaka', 'Teruyuki Kagawa', 'Takako Tokiwa']",Japan,
2012,Roland Emmerich,"['John Cusack', 'Amanda Peet', 'Danny Glover', 'Woody Harrelson']",United States,Disaster
9,Shane Acker,"['Elijah Wood', ' (voice), ', 'Jennifer Connelly', ' (voice), ', 'Christopher Plummer', ' (voice)']",United States,Animation
Alien Trespass,R. W. Goodwin,"['Eric McCormack', 'Jenni Baird', 'Robert Patrick']",United States,Comedy
Astroboy,David Bowers,"['Nicolas Cage', ' (voice), ', 'Donald Sutherland', ' (voice), ', 'Freddie Highmore', ' (voice)']",Hong Kong,Animated
Avatar,James Cameron,"['Sam Worthington', 'Zoe Saldana', 'Sigourney Weaver', 'Stephen Lang']",United States,Action adventure
Battle for Terra,Keith Calder,"['Brian Cox', ' (voice), ', 'James Garner', ' (voice), ', 'Evan Rachel Wood', ' (voice)']",United States,Animated action
The Box,Richard Kelly,"['Cameron Diaz', 'James Marsden', 'Frank Langella']",United States,Psychological horror
Cargo,"Ivan Engler, ","['Anna-Katharina Schwabroh', 'Martin Rapold']",Switzerland,Mystery thriller
District 9,Neill Blomkamp,"['Jason Cope', 'Robert Hobbs', 'Sharlto Copley']",United States,Thriller
Frequently Asked Questions About Time Travel,Gareth Carrivick,"[""Chris O'Dowd"", 'Marc Wootton', 'Anna Faris']",United Kingdom,Comedy
Gamer,Mark Neveldine,"['Gerard Butler', 'Michael C. Hall']",United States,Thriller
G.I. Joe: The Rise of Cobra,Stephen Sommers,"['Channing Tatum', 'Marlon Wayans', 'Dennis Quaid']",United States,Action
Green Lantern: First Flight,Lauren Montgomery,"['Christopher Meloni', 'Victor Garber', 'Tricia Heifer']",United States,Animated superhero film
Kenny Begins,Carl Åstrand,"['Johan Rheborg', 'Bill Skarsgård']",Sweden,Comedy
Knowing,Alex Proyas,"['Nicolas Cage', 'Rose Byrne', 'Chandler Canterbury']",United States,Disaster thriller
